INVERSIONES 2019 AYUNTAMIENTO DE MADRID Y ORGANISMOS AUTÓNOMOS. (VERSIÓN 40);;;;;;;;;;;
;;;;;;;;;;;
Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2017/001414;ADQUISICIÓN DE SUELO CAMINO DE VASARES-AV.SANTA EUGENIA. VIARIOS Y ZONAS VERDES;001087;15102;60000;700.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;218;VILLA DE VALLECAS
2018/000506;ADQUISICIÓN DE SUELO EN C/SARDINETA. VIARIO Y ZONA VERDE;001087;15102;60000;434.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;208;FUENCARRAL-EL PARDO
2018/001164;ADQUISICIÓN DE SUELO P.E. 00.304 NUEVA AVENIDA ALAMEDA DE OSUNA-CIUDAD PEGASO;001087;15102;60000;2.708.147,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;998;VARIOS DISTRITOS
2019/000197;ADQUISICIÓN SUELO C/ FAVILA Y C/ TEJARES;001087;15102;60000;790.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;211;CARABANCHEL
2019/000198;ADQUISICIÓN DE SUELO PARA ZONAS VERDES Y VIARIO;001087;15102;60000;4.446.858,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;998;VARIOS DISTRITOS
2003/001140;SUELO URBANIZABLE PROGRAMADO ENSANCHE VALLECAS 1.03;001087;15102;60901;80.900,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;218;VILLA DE VALLECAS
2003/001141;SUELO URBANIZABLE PROGRAMADO ENSANCHE DE BARAJAS 1.01;001087;15102;60901;2.130,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;221;BARAJAS
2003/001151;AREA DE PLANEAMIENTO REMITIDO 09.03 BULEVAR ARROYO DE LOS PINOS;001087;15102;60901;2.807,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;209;MONCLOA-ARAVACA
2004/001020;ARROYO DEL FRESNO. JUNTA DE COMPENSACIÓN;001087;15102;60901;171.056,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;208;FUENCARRAL-EL PARDO
2004/001092;ÁREA DE PLANEAMIENTO REMITIDO EMILIO MUÑOZ 20.04;001087;15102;60901;2.174,00;06;URBANISMO;02;urbanización suelo a través del sist.compensación;220;SAN BLAS - CANILLEJAS
2004/001154;CIUDAD AEROPORTUARIA - PARQUE VALDEBEBAS. URBANIZACIÓN;001087;15102;60901;785.759,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;216;HORTALEZA
2006/000377;SISTEMAS DE COMPENSACIÓN. PERI 14-06 SANTA LUISA INDUSTRIAL;001087;15102;60901;20.447,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;218;VILLA DE VALLECAS
2007/010240;ÁREA PLANEAMIENTO REMITIDO 02.06 MÉNDEZ ALVARO NORTE I. COMPENSACIÓN;001087;15102;60901;12.373,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;202;ARGANZUELA
2009/000488;UZP 2.03 DESARROLLO DEL ESTE LOS AHIJONES. COMPENSACIÓN;001087;15102;60901;204.339,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2010/000216;ÁREA DE PLANEAMIENTO REMITIDO 08.01 CALLE CANTALEJO. COMPENSACIÓN;001087;15102;60901;234.260,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;208;FUENCARRAL-EL PARDO
2010/000393;SUELO URBANIZABLE PROGRAMADO 3.01 DESARROLLO DEL ESTE VALDECARROS;001087;15102;60901;2.174,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;218;VILLA DE VALLECAS
2014/000198;JUNTA DE COMPENSACIÓN PLANETARIO MENESES. OBRAS DE URBANIZACIÓN;001087;15102;60901;18.635,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;202;ARGANZUELA
2014/000431;DESARROLLO DEL ESTE-LOS CERROS. JUNTA DE COMPENSACIÓN;001087;15102;60901;1.204,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;219;VICALVARO
2015/000464;CALLE LENGUAS ESTE. URBANIZACIÓN A TRAVÉS DEL SISTEMA DE COMPENSACIÓN;001087;15102;60901;5.534,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;217;VILLAVERDE
2019/000154;APE 21.07/M IBERICA LINEAS AEREAS DE ESPAÑA. URBANIZACION;001087;15102;60901;190.354,00;06;URBANISMO;02;URBANIZACIÓN SUELO A TRAVÉS DEL SIST.COMPENSACIÓN;221;BARAJAS
2017/000277;ADQUISICION SUELO APR 21.02 BARRIO DEL AEROPUERTO;001087;15102;68100;2.743.838,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;221;BARAJAS
2017/000462;ADQUISICIÓN DE SUELO C/ ANTONIO LÓPEZ;001087;15102;68100;710.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;211;CARABANCHEL
2017/001411;ADQUISICIÓN SUELO CAMINO DE VASARES-AV. SANTA EUGENIA;001087;15102;68100;1.900.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;218;VILLA DE VALLECAS
2018/000510;ADQUISICIÓN DE SUELO EN C/ RAMÍREZ TOMÉ.;001087;15102;68100;550.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;213;PUENTE DE VALLECAS
2019/000200;ADQUISICIÓN SUELO APE 21.07/M IBERIA LINEAS AÉREAS DE ESPAÑA;001087;15102;68100;31.291,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;221;BARAJAS
2019/000202;ADQUISICION DE SUELO PATRIMONIAL;001087;15102;68100;2.394.683,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;998;VARIOS DISTRITOS
2019/000203;ADQUISICIÓN SUELO PLAZA CÍVICA;001087;15102;68100;1.568.721,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;220;SAN BLAS - CANILLEJAS
2019/000204;ADQUISICIÓN SUELO APR 08.01 CANTALEJO;001087;15102;68100;187.255,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;208;FUENCARRAL-EL PARDO
2019/000215;EDIFICIO C/ PEIRONCELLY, 10. ADQUISICIÓN;001087;15102;68200;640.000,00;06;URBANISMO;07;ADQUISICIÓN EDIFICIOS PARA EQUIPAMIENTOS Y PATRIMO;213;PUENTE DE VALLECAS
2018/000645;ADOPCIÓN MEDIDAS DE SEGURIDAD EN EDIFICIOS MUNICIPALES;001087;15103;63200;2.068.335,00;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;998;VARIOS DISTRITOS
2018/000644;DERRIBOS EN ÁMBITOS DE EXPROPIACIÓN;001087;15105;60000;600.000,00;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;998;VARIOS DISTRITOS
2018/000643;URBANIZACIÓN DE SUELO EN EL TÉRMINO MUNICIPAL DE MADRID;001087;15105;60904;450.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;998;VARIOS DISTRITOS
2018/000642;DERRIBOS EN SUELO PATRIMONIAL;001087;15105;68100;600.000,00;06;URBANISMO;05;ADQUISICIÓN SUELO PATRIMONIAL;998;VARIOS DISTRITOS
2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;001087;15321;61901;11.130.105,00;07;INFRAESTRUCTURAS;01;CIRCUNVALACIÓN M-30;998;VARIOS DISTRITOS
2015/000226;ANILLO VERDE CICLISTA. OBRAS DE REMODELACIÓN;001087;15321;61904;6.880.737,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2017/007013;CARRIL BICI PARALELO A LA A-2 DESDE M-40 HASTA EL CENTRO (ID: 534);001087;15321;61904;3.508,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;220;SAN BLAS - CANILLEJAS
2017/007017;CARRIL BICI ENSANCHE DE VALLECAS. ADECUACIÓN (ID: 1200);001087;15321;61904;10.934,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;218;VILLA DE VALLECAS
2017/007030;CICLO-CARRIL DESDE EL BARRIO DE VALVERDE A PLAZA CASTILLA. ADAPTACIÓN (ID: 4364);001087;15321;61904;5.604,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;208;FUENCARRAL-EL PARDO
2017/007031;CARRIL BICI PLAZA DE CONDE DE CASAL-PARQUE DEL RETIRO.MEJORAS (ID: 4616);001087;15321;61904;5.099,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;203;RETIRO
2017/007034;INFRAESTRUCTURA CICLISTA COLONIA FIN DE SEMANA-CIUDAD PEGASO.CONSTRUCCIÓN(ID: 4756);001087;15321;61904;4.677,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;220;SAN BLAS - CANILLEJAS
2017/007041;ITINERARIOS CICLISTAS DISTRITO PUENTE DE VALLECAS. MEJORA (ID: 5462);001087;15321;61904;4.968,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;213;PUENTE DE VALLECAS
2017/004127;SANEAMIENTO Y CONSOLIDACIÓN DEL FIRME EN LAS VÍAS PÚBLICAS DEL PAU DE VALLECAS;001087;15321;61910;392.455,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;218;VILLA DE VALLECAS
2017/004587; CALLE HERNÁNDEZ DE COLÓN, 26. ADECUACIÓN ESCALERA Y CONDICIONES DE ACCESIBILIDAD;001087;15321;61910;4.469,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;216;HORTALEZA
2017/004589;CALLE VILLABLANCA. ACCESIBILIDAD ACERAS;001087;15321;61910;4.962,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;219;VICALVARO
2017/004591; VIAL CAMINO ALTO DE SAN ISIDRO. SEGURIDAD Y ACCESIBILIDAD;001087;15321;61910;15.949,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;211;CARABANCHEL
2017/004088;ADECUACION DEL PASO SUPERIOR DE LA VIA DE SERVICIO DE M-40 SOBRE LA A-1;001087;15321;61911;618.142,00;08;MANTENIMIENTO URBANO;04;CONSERVACIÓN  PASOS A DISTINTO NIVEL;216;HORTALEZA
2015/000207;PLAZA DE ESPAÑA. OBRAS DE REMODELACIÓN;001087;15340;61904;42.500.000,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;998;VARIOS DISTRITOS
2016/000334;CALLE ATOCHA Y PLAZA DE JACINTO BENAVENTE. REURBANIZACIÓN;001087;15340;61904;1.826.964,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;201;CENTRO
2017/000434;GRAN VÍA. AMPLIACIÓN DE ACERAS;001087;15340;61910;492.197,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;201;CENTRO
2017/004097;ITINERARIOS CICLISTAS. FASE III;001087;15340;61910;157.553,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2017/004104;ITINERARIOS CICLISTAS. FASE II;001087;15340;61910;292.674,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;998;VARIOS DISTRITOS
2017/004596; PLAZA PUERTO RUBIO-PEÑA GORBEA. CONEXIÓN;001087;15340;61910;19.163,00;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;213;PUENTE DE VALLECAS
2017/004089;"ACONDICIONAMIENTO ZONAS VERDES, URBANIZACION  ENTORNO ESTADIO ""LA PEINETA""";001087;15340;61920;302.500,00;09;MEDIO AMBIENTE;00;PARQUES;220;SAN BLAS - CANILLEJAS
2017/007062;ALUMBRADO EN EL PARQUE PRADOLONGO. AMPLIACIÓN (ID: 3559);001087;16501;60917;99.405,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;212;USERA
2017/007065;TECNOLOGÍA LED EN ESPACIOS PÚBLICOS. IMPLANTACIÓN (ID: 5064);001087;16501;60917;896.382,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;998;VARIOS DISTRITOS
2018/008173;ALUMBRADO EN EL DISTRITO DE TETUÁN. MEJORA (ID: 999);001087;16501;60917;333.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;206;TETUAN
2018/008174;ALUMBRADO EN LA  C/MARQUES DE VIANA DISTRITO TETUÁN. MEJORA (ID: 1692);001087;16501;60917;333.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;206;TETUAN
2018/008182;TECNOLOGÍA LED EN EL DISTRITO DE FUENCARRAL EL PARDO. SUSTITUCIÓN (ID: 984);001087;16501;60917;120.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;208;FUENCARRAL-EL PARDO
2018/008185;ILUMINACIÓN EN EL PASEO DE EXTREMADURA. AMPLIACIÓN (ID: 2203);001087;16501;60917;250.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;210;LATINA
2018/008189;ALUMBRADO VIARIO EN EL BARRIO MESETA DE ORCASITAS. AMPLIACIÓN (ID: 1514);001087;16501;60917;120.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;212;USERA
2018/008193;ALUMBRADO VIARIO EN EL PARQUE DE PALOMERAS. AMPLIACIÓN (ID: 3080);001087;16501;60917;150.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;213;PUENTE DE VALLECAS
2018/008196;ALUMBRADO VIARIO EN DIVERSOS PARQUES DEL DISTRITO DE VILLAVERDE. AMPLIACIÓN (ID: 256);001087;16501;60917;300.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;217;VILLAVERDE
2018/008200;TECNOLOGIA LED EN ALUMBRADO DEL DISTRITO DE VICÁLVARO. IMPLANTACIÓN (ID: 2606);001087;16501;60917;253.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;219;VICALVARO
2018/008206;TECNOLOGÍA LED EN LAS FAROLAS DE LA CIUDAD DE MADRID. SUSTITUCIÓN (ID: 1619);001087;16501;60917;2.520.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;998;VARIOS DISTRITOS
2019/009008;CALLE EDUARDO BARREIROS. ILUMINACIÓN (ID: 8498);001087;16501;60917;725.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;217;VILLAVERDE
2019/009044;ESPACIOS PEATONALES EN EL DISTRITO DE FUENCARRAL (PASOS Y ACERAS). ILUMINACIÓN (ID: 11080);001087;16501;60917;200.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;208;FUENCARRAL-EL PARDO
2019/009054;ESPACIOS PÚBLICOS DE LA CIUDAD DE MADRID. IMPLANTACIÓN DE LA TECNOLOGÍA LED (ID: 11478);001087;16501;60917;3.000.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;998;VARIOS DISTRITOS
2019/009131;TÚNEL NORTE DE LAS TABLAS. ILUMINACIÓN (ID: 10476);001087;16501;60917;159.000,00;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;208;FUENCARRAL-EL PARDO
2017/004098;ACONDICIONAMIENTO ACCESIBLE PARADAS DE AUTOBÚS;001087;44110;61910;461.732,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;998;VARIOS DISTRITOS
2016/000724;PASARELA PEATONAL ACCESO CERCANÍAS SAN CRISTÓBAL DE LOS ÁNGELES DESDE Bº DE BUTARQUE;001087;15340;60911;2.000.000,00;07;INFRAESTRUCTURAS;04;CONSTRUCCIÓN PASARELAS PEATONALES;217;VILLAVERDE
2017/000542;AVISADORES ACÚSTICOS SEMAFOROS;001097;13301;62300;404.628,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/000348;PROYECTO CRUCES SEMAFORIZADOS;001097;13301;62799;534.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/000349;PANELES MENSAJES VARIABLES INTEGRADOS SERVICIOS DE TRÁFICO;001097;13301;62799;348.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2019/009083;PASO PEATONES CON SEMÁFORO CALLE LUCHANA (C/JUAN AUSTRIA Y COVARRUBIAS). INSTALACIÓN (ID: 8841);001097;13301;62799;40.500,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;207;CHAMBERI
2019/009084;NUEVO PASO DE PEATONES CON ELEMENTO DE REGULACIÓN EN LA PLAZA DE ALSACIA. INSTALACIÓN (ID: 8848);001097;13301;62799;25.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;220;SAN BLAS - CANILLEJAS
2019/009186;SEMÁFOROS CON PRIORIDAD DE AUTOBÚS. INSTALACIÓN (ID: 12122);001097;13301;62799;100.000,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;998;VARIOS DISTRITOS
2018/000648;PLAN DE APARCAMIENTOS DISUASORIOS EN LA CIUDAD DE MADRID;001097;13302;60999;5.174.121,00;07;INFRAESTRUCTURAS;02;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;998;VARIOS DISTRITOS
2019/003341;APARCAMIENTO SANTO DOMINGO. CONSTRUCCIÓN;001097;13302;62200;321.534,00;07;INFRAESTRUCTURAS;02;CONSTRUCCIÓN Y/O ADQUISICIÓN DE APARCAMIENTOS;201;CENTRO
2018/000429;PANELES VIALES PERIFÉRICOS ÁREA CENTRAL CERO EMISIONES;001097;13302;62799;544.540,00;02;TRÁFICO, ESTACIONAMIENTO Y TRANSPORTE PÚBLICO;00;TRÁFICO Y SEÑALIZACIÓN;201;CENTRO
2016/000919;RENATURALIZACIÓN RÍO MANZANARES ENTRE PUENTE DE LOS FRANCESES Y PUENTE REINA VICTORIA;001097;16001;60904;13.310,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;209;MONCLOA-ARAVACA
2015/000215;COLECTOR DOBLADO DE VICÁLVARO. CONSTRUCCIÓN;001097;16001;60914;300.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000216;DRENAJE VÍA DE SERVICIO DE LA N-III A LA ALTURA DEL ENSANCHE DE VALLECAS;001097;16001;60914;125.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;001097;16001;60914;125.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;219;VICALVARO
2019/000355;MEJORA DRENAJE PASO INFERIOR CONCEPCIÓN DE LA OLIVA;001097;16001;60914;50.000,00;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;217;VILLAVERDE
2019/000356;REDACCIÓN DE PROYECTOS INGENIERÍA DEL AGUA;001097;16001;60914;104.242,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2017/000219;HIDRANTES EN LA VÍA PÚBLICA. INSTALACIÓN;001097;16001;60915;24.000,00;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;998;VARIOS DISTRITOS
2019/000356;REDACCIÓN DE PROYECTOS INGENIERÍA DEL AGUA;001097;16001;61999;104.242,00;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;998;VARIOS DISTRITOS
2015/000223;TRAMO SUPERIOR ARROYO DE LOS MIGUELES. ACONDICIONAMIENTO;001097;16001;62700;100.000,00;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;219;VICALVARO
2018/001175;PARQUE TECNOLÓGICO VALDEMINGÓMEZ. SISTEMA CONTROL Y NEUTRALIZACIÓN DE OLORES;001097;16230;62701;48.400,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000217;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ. SISTEMAS DE DESODORIZACIÓN BIOMETANIZACION;001097;16230;62701;7.691.096,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000219;PLANTA BIOMETANIZACIÓN LAS DEHESAS . ADAPTACIÓN A RESIDUOS FORS;001097;16230;62701;5.738.803,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;001097;16230;62701;2.915.851,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2019/000345;SISTEMAS DESODORIZACIÓN PLANTAS TRATAMIENTO RESIDUOS URBANOS PARQUE VALDEMINGÓMEZ;001097;16230;62701;7.561.602,00;09;MEDIO AMBIENTE;05;TRATAMIENTO DE RESIDUOS;218;VILLA DE VALLECAS
2017/007081;BANCOS EN LA AVENIDA ARCENTALES. INSTALACIÓN (ID: 5484);001097;16301;60913;42.700,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;220;SAN BLAS - CANILLEJAS
2018/008049;APARCABICICLETAS EN EL DISTRITO CENTRO. INSTALACIÓN (ID: 2902);001097;16301;60913;7.200,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;201;CENTRO
2018/008062;BANCOS EN ACERAS EN EL DISTRITO DE FUENCARRAL-EL PARDO. INSTALACIÓN (ID: 958);001097;16301;60913;200.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;208;FUENCARRAL-EL PARDO
2018/008069;BANCOS, MESAS Y ELEMENTOS DEPORTIVOS EN EL BARRIO DE LUCERO. INSTALACIÓN (ID: 2753);001097;16301;60913;40.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;210;LATINA
2018/008080;ÁREA DE MAYORES EN PALOMERAS BAJAS - MADRID SUR. INSTALACIÓN (ID: 2427);001097;16301;60913;25.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;213;PUENTE DE VALLECAS
2018/008082;BANCOS Y OTRO MOBILIARIO URBANO EN EL DISTRITO DE PUENTE DE VALLECAS. INSTALACIÓN (ID: 2442);001097;16301;60913;600.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;213;PUENTE DE VALLECAS
2018/008083;APARCABICICLETAS EN EL INTERCAMBIADOR DE PAVONES Y MERCADO DE MORATALAZ. INSTALACIÓN (ID: 2557);001097;16301;60913;5.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;214;MORATALAZ
2018/008088;COLUMPIOS EN EL DESARROLLO URBANO DE VALDEBEBAS. INSTALACIÓN (ID: 2766);001097;16301;60913;75.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;216;HORTALEZA
2018/008092;ÁREA INFANTIL EN LA GRAN VÍA DE VILLAVERDE. INSTALACIÓN (ID: 610);001097;16301;60913;250.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;217;VILLAVERDE
2018/008097;MOBILIARIO URBANO EN EL DISTRITO DE VICÁLVARO. INSTALACIÓN (ID: 1792);001097;16301;60913;3.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;219;VICALVARO
2018/008111;APARCAMIENTOS PARA BICICLETAS PRÓXIMOS A CENTROS PÚBLICOS. INSTALACIÓN (ID: 2905);001097;16301;60913;18.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2018/008208;BARANDILLA C/CORREGIDOR JUAN DE BOBADILLA, 8. SEGURIDAD Y PROMOCIÓN ACCESIBILIDAD (ID: 1174);001097;16301;60913;12.000,00;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;214;MORATALAZ
2019/009096;ZONAS INFANTILES EN LA PLAZA DE BAMI. INSTALACIÓN (ID: 9391);001097;16301;60913;140.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;215;CIUDAD LINEAL
2019/009103;BANCOS EN ESQUINAS DE LAS CALLES ESTRECHAS DEL DISTRITO DE TETUÁN. INSTALACIÓN (ID: 9555);001097;16301;60913;17.500,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;206;TETUAN
2019/009105;NUEVOS BANCOS EN LA PLAZA DE MANUEL BECERRA. INSTALACIÓN (ID: 9656);001097;16301;60913;10.849,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;204;SALAMANCA
2019/009111;PÉRGOLAS EN CALLES Y PLAZAS DE LA CIUDAD DE MADRID. INSTALACIÓN (ID: 9853);001097;16301;60913;500.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2019/009123;BANCOS EN LA PUERTA DEL SOL. INSTALACIÓN (ID: 10186);001097;16301;60913;30.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;201;CENTRO
2019/009125;TOLDOS Y PARASOLES EN BARRIOS VULNERABLES AL CALOR EN LA CIUDAD DE MADRID. INSTALACIÓN (ID: 10275);001097;16301;60913;500.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;998;VARIOS DISTRITOS
2019/009138;APARATOS DE EJERCICIO AL AIRE LIBRE EN LA GRAN VIA DE VILLAVERDE. INSTALACIÓN (ID: 10862);001097;16301;60913;140.000,00;08;MANTENIMIENTO URBANO;01;MOBILIARIO URBANO;217;VILLAVERDE
