Fondo;Descripci¢n;Centro;Secci¢n;Programa;Subconcepto;Programa de Financiaci¢n;Definici¢n proyecto;T°tulo;Distrito;Texto Distrito;L°nea Inversi¢n;Descripci¢n L°nea de Inversi¢n;Subl°ne de Inversi¢n;Descripci¢n Subl°ne de Inversi¢n;Etiqueta 16;Descripci¢n etiqueta 16;Etiqueta 17;Descripci¢n etiqueta 17;Etiqueta 18;Descripci¢n etiqueta 18;Cred. Inicial(1);Modifc. (2);C. Definitivo (3);C Disponible (4);Re. Pte. Util.(5);C. Autorizado (6);C. Dispuesto (7);Obl. Reconoc. (8);C. Ordenado (9);Pagos Real (10)
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60902;2003/001091;2003/001091;POL÷GONO DE COOPERACI‡N EMERENCIANA ZURILLA;209;MONCLOA-ARAVACA;06;URBANISMO;03;URBANIZACI‡N SUELO A TRAVêS DEL SIST.COOPERACI‡N;;;;;;;0,00;43629,02;43629,02;0,00;0,00;43629,02;43629,02;43629,02;0,00;43629,02
;;001;087;15321;60903;2018/000593;2018/000593;C/ MARQUêS DE VIANA, 41. OBRAS ACCESORIAS DE URBANIZACI‡N;206;TETUAN;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;7048,15;7048,15;483,01;0,00;6565,14;6565,14;0,00;0,00;0,00
;;001;087;15321;60903;2018/000594;2018/000594;AV. SANTA CATALINA, S/N. OBRAS ACCESORIAS DE URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;34710,74;34710,74;34710,74;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60903;2018/000595;2018/000595;C/ MANUEL CANO, 2. OBRAS ACCESORIAS DE URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;4132,23;4132,23;4132,23;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60903;2018/000597;2018/000597;C/ ADRIµN ANDRêS, 1. OBRAS ACCESORIAS DE URBANIZACI‡N;209;MONCLOA-ARAVACA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;105620,84;105620,84;105620,84;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60903;2018/000598;2018/000598;C/ BENICARL‡, 20. OBRAS ACCESORIAS DE URBANIZACI‡N;221;BARAJAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;16115,70;16115,70;14,38;0,00;16101,32;16101,32;0,00;0,00;0,00
;;001;087;15321;60903;2018/000599;2018/000599;C/ BR÷GIDA ALONSO, 6. OBRAS ACCESORIAS DE URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;9504,13;9504,13;17,44;0,00;9486,69;9486,69;0,00;0,00;0,00
;;001;087;15321;60903;2018/000600;2018/000600;C/ EDUARDO BARREIROS, 118. OBRAS ACCESORIAS DE URBANIZACI‡N;217;VILLAVERDE;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;147107,44;147107,44;1,40;0,00;147106,04;147106,04;0,00;0,00;0,00
;;001;087;15321;60903;2018/000601;2018/000601;C/ MARQUESADO DE SANTA MARTA, 15 A 21. OBRAS ACCESORIAS DE URBANIZACI‡N;220;SAN BLAS-CANILLEJAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;95867,77;95867,77;0,06;0,00;95867,71;95867,71;0,00;0,00;0,00
;;001;087;15321;60903;2018/000602;2018/000602;C/ ANTONIA LANCHA, 10. OBRAS ACCESORIAS DE URBANIZACI‡N;211;CARABANCHEL;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;41322,31;41322,31;27207,07;0,00;14115,24;14115,24;0,00;0,00;0,00
;;001;087;15321;60903;2018/000603;2018/000603;C/ CAPITµN BLANCO ARGIBAY, 34. OBRAS ACCESORIAS DE URBANIZACI‡N;206;TETUAN;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;22066,12;22066,12;8617,95;0,00;13448,17;13448,17;0,00;0,00;0,00
;;001;087;15321;60903;2018/001049;2018/001049;C/ SIERRA VIEJA, 68 C/V. PZA. SIERRA DE AYLLON. OBRAS ACCESORIAS DE URBANIZACI‡N;218;VILLA DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;22727,27;22727,27;3695,89;0,00;19031,38;19031,38;0,00;0,00;0,00
;;001;087;15321;60903;2018/001099;2018/001099;C/ MADRE NAZARIA, 1 C/V. C/DURAZNO. OBRAS ACCESORIAS DE URBANIZACI‡N;211;CARABANCHEL;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;80165,29;80165,29;80165,29;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60903;2018/001125;2018/001125;C/ BELLVER, 26-28. OBRAS ACCESORIAS DE URBANIZACI‡N;206;TETUAN;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;37190,08;37190,08;37190,08;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60903;2018/001142;2018/001142;C/ ZUMµRRAGA, 11. OBRAS ACCESORIAS DE URBANIZACI‡N;209;MONCLOA-ARAVACA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;36739,51;36739,51;9142,97;0,00;27596,54;27596,54;0,00;0,00;0,00
;;001;087;15321;60903;2018/001157;2018/001157;C/ JUAN BRAVO, 3B-3C C/V.LAGASCA C/V.MALDONADO. OBRAS ACCESORIAS DE URBANIZACI‡N;204;SALAMANCA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;225619,83;225619,83;54068,90;0,00;171550,93;171550,93;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2004/001076;2004/001076;C/ALSASUA, AV.PADRE HUIDOBRO,S.GERARDO Y OTRAS. URBANIZACI‡N;998;VARIOS DISTRITOS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;168880,23;168880,23;41339,15;0,00;127541,08;127541,08;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2007/000401;2007/020401;PLAZA C÷VICA. OBRAS DE URBANIZACI‡N;220;SAN BLAS-CANILLEJAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;26205,16;26205,16;26205,16;0,00;0,00;0,00;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2007/000401;2007/030401;UNIDAD VECINAL 4 DE ENTREV÷AS. URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;25747,27;25747,27;25747,27;0,00;0,00;0,00;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2008/000734;2008/000734;COLONIA BORJA. URBANIZACI‡N;210;LATINA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;93396,01;93396,01;2,40;0,00;93393,61;93393,61;77176,15;0,00;77176,15
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2008/000735;2008/000735;COLONIA LA VI•A DE ENTREV÷AS. URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;40979,59;40979,59;40979,59;0,00;0,00;0,00;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2010/000319;2010/000319;AVDA. MARCONI, 1. URBANIZACI‡N;217;VILLAVERDE;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;290043,10;290043,10;58677,65;0,00;231365,45;231365,45;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2014/000254;2014/000254;C/ ALEJANDRO CASONA, 38 C/V. ANGELITA CAMARERO. OBRAS DE URBANIZACI‡N;208;FUENCARRAL-EL PARDO;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;28925,62;28925,62;28925,62;0,00;0,00;0,00;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2016/000568;2016/000568;CALLE SANTA LEONOR, 28. OBRAS DE URBANIZACI‡N;220;SAN BLAS-CANILLEJAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;18181,82;18181,82;1964,61;0,00;16217,21;16217,21;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2016/000887;2016/000887;C/ MONTE URGULL, 2-4-6-8. OBRAS DE URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;20247,93;20247,93;0,00;0,00;20247,93;20247,93;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2017/000694;2017/000694;COLONIA SANTA MAR÷A, 11. OBRAS DE URBANIZACI‡N;209;MONCLOA-ARAVACA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;26859,50;26859,50;4781,11;0,00;22078,39;22078,39;20360,71;0,00;20360,71
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2017/000695;2017/000695;C/ ORI‡N, 43 CV/. GêMINIS, 35. OBRAS DE URBANIZACI‡N;221;BARAJAS;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;8033,17;8033,17;0,00;0,00;8033,17;8033,17;8033,17;0,00;8033,17
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2017/000706;2017/000706;CALLE ARMINZA, 3. OBRAS DE URBANIZACI‡N;209;MONCLOA-ARAVACA;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;17130,63;17130,63;58,24;0,00;17072,39;17072,39;13775,92;0,00;13775,92
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2017/001244;2017/001244;C/ MµRTIRES DE LA VENTILLA, 2. OBRAS DE URBANIZACI‡N;206;TETUAN;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;22809,92;22809,92;22809,92;0,00;0,00;0,00;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;087;15321;60903;2017/001389;2017/001389;C/ MARQUêS DE VIANA, 39. OBRAS DE URBANIZACI‡N;206;TETUAN;06;URBANISMO;04;URBANIZACI‡N SUELO A CARGO DE PARTICULARES;;;;;;;0,00;6021,73;6021,73;295,43;0,00;5726,30;5726,30;0,00;0,00;0,00
;;001;087;15321;60904;2016/009091;2016/009091;V÷A CICLISTA EN GRAN V÷A DE HORTALEZA . CONSTRUCCI‡N;216;HORTALEZA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;10315,40;10315,40;10315,40;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;60904;2017/000439;2017/000439;C/  CUELLAR, 4. OBRAS DE URBANIZACI‡N;208;FUENCARRAL-EL PARDO;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;31342,00;0,00;31342,00;0,95;0,00;31341,05;31341,05;0,00;0,00;0,00
;;001;087;15321;60904;2017/000440;2017/000440;C/ FRAY JOSE DE CERDEIRI•A. OBRAS DE URBANIZACI‡N;210;LATINA;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;189999,00;0,00;189999,00;0,41;0,00;189998,59;189998,59;0,00;0,00;0,00
;;001;087;15321;60904;2018/000519;2018/000519;C/ DR. SALGADO ENTRE C/ SIERRA DE MEIRA, 64 Y C/ PICO CEJO, 51. URBANIZACI‡N;213;PUENTE DE VALLECAS;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;55000,00;0,00;55000,00;55000,00;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009085;2016/009085;V÷A CICLISTA PASEO MORET -PASEO DEL PINTOR ROSALES. CONSTRUCCI‡N;209;MONCLOA-ARAVACA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;32028,46;32028,46;32028,46;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009086;2016/009086;V÷A CICLISTA EN SANTA ENGRACIA-BRAVO MURILLO. CONSTRUCCI‡N;207;CHAMBERI;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;31678,86;31678,86;31678,86;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009087;2016/009087;V÷A CICLISTA AVDA. TOREROS - CASTELLANA. CONSTRUCCI‡N;204;SALAMANCA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;82118,59;82118,59;82118,59;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009088;2016/009088;V÷A CICLISTA PUERTA DE TOLEDO - ANTONIO LEYVA. CONSTRUCCI‡N;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;43213,03;43213,03;43213,03;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009089;2016/009089;V÷A CICLISTA AV. DE OPORTO - EUGENIA DE MONTIJO. CONSTRUCCI‡N;211;CARABANCHEL;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;48990,00;48990,00;48990,00;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009091;2016/009091;V÷A CICLISTA EN GRAN V÷A DE HORTALEZA . CONSTRUCCI‡N;216;HORTALEZA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;138920,72;138920,72;60680,03;0,00;78240,69;78240,69;78240,69;0,00;78240,69
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;60904;2016/009092;2016/009092;V÷A CICLISTA. M-10 BULEVARES. CONSTRUCCI‡N;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;162406,83;162406,83;162406,83;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;61901;2011/000318;2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICI‡N;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;01;CIRCUNVALACI‡N M-30;;;;;;;5544684,00;2550000,00;8094684,00;0,00;0,00;8094684,00;8094684,00;0,00;0,00;0,00
;;001;087;15321;61904;2014/000435;2014/000435;ENTORNO DEL BARRIO DE CHUECA. OBRAS DE REMODELACI‡N;201;CENTRO;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;2366242,00;0,00;2366242,00;283037,51;0,00;2083204,49;2083204,49;1375246,81;0,00;1375246,81
;;001;087;15321;61904;2015/000226;2015/000226;ANILLO VERDE CICLISTA. OBRAS DE REMODELACI‡N;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;2004606,00;-2004600,01;5,99;5,99;0,00;0,00;0,00;0,00;0,00;0,00
;;001;087;15321;61904;2015/000226;2015/010226;ANILLO VERDE CICLISTA DISTRITO HORTALEZA. OBRAS DE REMODELACI‡N;216;HORTALEZA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;418409,37;418409,37;0,00;0,00;418409,37;0,00;0,00;0,00;0,00
;;001;087;15321;61904;2015/000226;2015/090226;ANILLO VERDE CICLISTA DISTRITO MONCLOA-ARAVACA. OBRAS DE REMODELACI‡N;209;MONCLOA-ARAVACA;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;794180,20;794180,20;0,00;0,00;794180,20;0,00;0,00;0,00;0,00
;;001;087;15321;61904;2015/000226;2015/100226;ANILLO VERDE CICLISTA DISTRITO FUENCARRAL-EL PARDO. OBRAS DE REMODELACI‡N;208;FUENCARRAL-EL PARDO;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;;;;;;;0,00;792010,44;792010,44;0,00;0,00;792010,44;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2016/009095;2016/009095;MEJORA SEGURIDAD VIAL EN LOS PAUS MONTE CARMELO, LAS TABLAS, SANCHINARRO Y VALLECAS;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;02;V÷AS PÈBLICAS;;;;;;;0,00;328612,98;328612,98;0,00;0,00;328612,98;328612,98;139863,11;0,00;139863,11
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/004585;2017/004585;IFS - CALLE JAZM÷N. MEJORA ENTORNO URBANO;215;CIUDAD LINEAL;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;17;FONDO REEQUILIBRIO TERRITORIAL;;;0,00;59966,27;59966,27;20592,42;0,00;39373,85;39373,85;36416,69;0,00;36416,69
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/004586;2017/004586;IFS - CALLE  MISTERIOS Y PLAZA REVERENCIA. REMODELACI‡N;215;CIUDAD LINEAL;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;17;FONDO REEQUILIBRIO TERRITORIAL;;;0,00;218877,28;218877,28;75162,46;0,00;143714,82;143714,82;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007013;2017/007013;IFS - CARRIL BICI PARALELO A LA A-2 DESDE M-40 HASTA EL CENTRO (ID: 534);220;SAN BLAS-CANILLEJAS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;147735,42;147735,42;49438,63;0,00;98296,79;98296,79;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007017;2017/007017;IFS - CARRIL BICI ENSANCHE DE VALLECAS. ADECUACI‡N (ID: 1200);218;VILLA DE VALLECAS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;460497,70;460497,70;154102,31;0,00;306395,39;306395,39;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007030;2017/007030;IFS - CICLO-CARRIL DESDE EL BARRIO DE VALVERDE A PLAZA CASTILLA. ADAPTACI‡N (ID: 4364);208;FUENCARRAL-EL PARDO;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;236016,51;236016,51;78981,26;0,00;157035,25;157035,25;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007031;2017/007031;IFS - CARRIL BICI PLAZA DE CONDE DE CASAL-PARQUE DEL RETIRO.MEJORAS (ID: 4616);203;RETIRO;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;214752,50;214752,50;71865,41;0,00;142887,09;142887,09;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007034;2017/007034;IFS - INFRAESTRUCTURA CICLISTA COLONIA FIN DE SEMANA-CIUDAD PEGASO.CONSTRUCCI‡N(ID: 4756);220;SAN BLAS-CANILLEJAS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;196963,56;196963,56;65912,45;0,00;131051,11;131051,11;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;087;15321;61904;2017/007041;2017/007041;IFS - ITINERARIOS CICLISTAS DISTRITO PUENTE DE VALLECAS. MEJORA (ID: 5462);213;PUENTE DE VALLECAS;07;INFRAESTRUCTURAS;06;OTRAS INVERSIONES EN INFRAESTRUCTURAS URBANAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;209206,88;209206,88;70009,61;0,00;139197,27;139197,27;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005149;2018/005149;IFS - BULEVAR Y LA PLAZA VIEJA DE PUENTE DE VALLECAS. REMODELACION (ID 17: 2348 );213;PUENTE DE VALLECAS;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005150;2018/005150;IFS - ZONAS VERDES PLAZA  DEL CANAL. REMODELACION URBANIZACION (ID 17: 3287 );206;TETUAN;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;100000,00;100000,00;100000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005151;2018/005151;IFS - ELIMINACION BARRERAS ARQUITECT‡NICAS DISTRITO PUENTE DE VALLECAS  (ID 17: 5193 );213;PUENTE DE VALLECAS;08;MANTENIMIENTO URBANO;02;V÷AS PÈBLICAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;686000,00;686000,00;686000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005152;2018/005152;IFS - ESPACIO BAJO EL PUENTE DE LA AVDA. DAROCA. ADAPTACI‡N (ID 17: 2757);215;CIUDAD LINEAL;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;140000,00;140000,00;140000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005153;2018/005153;IFS - DEHESA DE LA VILLA A C/ANTONIO MACHADO-ZONA  OCIO Y COMERCIO. ACCESIBILIDAD (ID 17: 3335 );209;MONCLOA-ARAVACA;08;MANTENIMIENTO URBANO;02;V÷AS PÈBLICAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;350000,00;350000,00;350000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005154;2018/005154;IFS - DEHESA DE LA VILLA,  SALIDA C/ANTONIO MACHADO CONEXI‡N NORDESTE DE MADRID  (ID 17: 3355 );209;MONCLOA-ARAVACA;08;MANTENIMIENTO URBANO;02;V÷AS PÈBLICAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;370000,00;370000,00;370000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/005155;2018/005155;IFS - µRBOLES DE SOMBRA EN PLAZAS DEL DISTRITO DE CENTRO. REMODELACI‡N URBANIZACI‡N;201;CENTRO;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/006532;2018/006532;IFS - BARRIOS DE LA CHOPERA Y DELICIAS. MEJORA DE LA URBANIZACI‡N;202;ARGANZUELA;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;200000,00;200000,00;200000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/006533;2018/006533;IFS - ACERA EN CALLE GREGORIO SµNCHEZ HERRAEZ, ENTRE CALLE SANTA VIRGILIA Y M-40;215;CIUDAD LINEAL;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;100000,00;100000,00;100000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/006534;2018/006534;IFS - ADECUACI‡N DE VIALES EN VARIOS DISTRITOS.;998;VARIOS DISTRITOS;06;URBANISMO;01;URBANIZACI‡N SUELO A CARGO DEL AYUNTAMIENTO;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;430000,00;430000,00;430000,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;087;15321;61904;2018/008168;2018/008168;IFS - ACCESOS A LA ESTACI‡N DE CHAMART÷N. OBRAS DE MEJORA (ID: 591);205;CHAMARTIN;08;MANTENIMIENTO URBANO;02;V÷AS PÈBLICAS;16;INV.FINANCIERAM. SOSTENIBLE;;;18;PRESUPUESTOS PARTICIPATIVOS;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
